State,Area Code,City,Address,Address Two,Size (hectare),sq metres,Price,Price / Sq Metre,Solar Exposure 2019 (MJ m-2),Convert to megawatt-hour,Total Megawatt-hour,60%,Solar / PSM,
QLD,4725,Barcaldine,0 Capricorn Highway,0 Capricorn Highway Barcaldine 4725,168.59," 1,685,900 ",400000,0.24,21.8,0.006055556," 10,209.06 "," 6,125.44 ",91.88,
QLD,4421,Tara,42 O'Hallorans Raoad,42 O'Hallorans Raoad Tara 4421,12," 120,000 ",27500,0.23,20.9,0.005805556, 696.67 , 418.00 ,91.20,
QLD,4421,Tara,183 Tregathlyn Road,183 Tregathlyn Road Tara 4421,12," 120,000 ",29999,0.25,20.9,0.005805556, 696.67 , 418.00 ,83.60,
QLD,4343,Ropeley,807 Ropeley Rockside Road,807 Ropeley Rockside Road Ropeley 4343,87.7," 877,000 ",425000,0.48,20.9,0.005805556," 5,091.47 "," 3,054.88 ",43.13,
SA,5354,Fisher,21 Ballone Road,21 Ballone Road Fisher 5354,30," 300,000 ",99000,0.33,17.2,0.004777778," 1,433.33 ", 860.00 ,52.12,
NT,0845,Batchelor,60 Carr Road,60 Carr Road Batchelor 0845,101.17," 1,011,700 ",485000,0.48,22.1,0.006138889," 6,210.71 "," 3,726.43 ",46.10,
TAS,7304,Meander,0 Meander Road,0 Meander Road Meander 7304,77.15," 771,500 ",320000,0.41,14.7,0.004083334," 3,150.29 "," 1,890.18 ",35.44,
QLD,4472,Blackall,113 Woodbine Road,113 Woodbine Road Blackall 4472,129.5," 1,295,000 ",770000,0.59,20.9,0.005805556," 7,518.20 "," 4,510.92 ",35.15,
SA,5434,Hawker,52 Flinders Ranges Way,52 Flinders Ranges Way Hawker 5434,180," 1,800,000 ",900000,0.50,17.2,0.004777778," 8,600.00 "," 5,160.00 ",34.40,
SA,5413,Apoinga,238 Lagoon Road Apoinga,238 Lagoon Road Apoinga Apoinga 5413,30.83," 308,300 ",155000,0.50,17.2,0.004777778," 1,472.99 ", 883.79 ,34.21,
SA,5235,Springton,13/13 Strachans Road,13/13 Strachans Road Springton 5235,54," 540,000 ",275000,0.51,17.2,0.004777778," 2,580.00 "," 1,548.00 ",33.77,
NSW,2259,Yarramalong,Lot 1 Bunning Creek Road,Lot 1 Bunning Creek Road Yarramalong 2259,35.61," 356,100 ",200000,0.56,17.1,0.00475," 1,691.48 "," 1,014.89 ",30.45,
TAS,3706,Lower Beulah,Lower Beulah Road,Lower Beulah Road Lower Beulah 3706,47.04," 470,400 ",238000,0.51,14.7,0.004083334," 1,920.80 "," 1,152.48 ",29.05,
WA,6304,Morbinning,38 Avoca Road,38 Avoca Road Morbinning 6304,63.34," 633,400 ",500000,0.79,22.3,0.006194445," 3,923.56 "," 2,354.14 ",28.25,
NT,0840,Dundee Forest,4500 Bay Road,4500 Bay Road Dundee Forest 0840,12.25," 122,500 ",100000,0.82,22.1,0.006138889, 752.01 , 451.21 ,27.07,
TAS,7117,Dover,Valley Road,Valley Road Dover 7117,27.89," 278,900 ",160000,0.57,14.7,0.004083334," 1,138.84 ", 683.31 ,25.62,
SA,5253,Woods Point,937 Jervois Road,937 Jervois Road Woods Point 5253,19.83," 198,300 ",149000,0.75,17.2,0.004777778, 947.43 , 568.46 ,22.89,
VIC,3561,Rochester,380 Diggora Road,380 Diggora Road Rochester 3561,21.04," 210,400 ",199000,0.95,17.3,0.004805556," 1,011.09 ", 606.65 ,18.29,
NT,0840,Dundee Beach,3734 Launceston Road,3734 Launceston Road Dundee Beach 0840,14.28," 142,800 ",240000,1.68,22.1,0.006138889, 876.63 , 525.98 ,13.15,
QLD,4421,Tara,113 Gazzard Road,113 Gazzard Road Tara 4421,12.14," 121,400 ",225000,1.85,20.9,0.005805556, 704.79 , 422.88 ,11.28,
NT,0850,Katherine,2675 Florina Rd,2675 Florina Rd Katherine 0850,40.65," 406,500 ",899000,2.21,22.1,0.006138889," 2,495.46 "," 1,497.28 ",9.99,
NT,0822,Bees Creek,795 Bees Creek Road,795 Bees Creek Road Bees Creek 0822,120.5," 1,205,000 ",2980000,2.47,22.1,0.006138889," 7,397.36 "," 4,438.42 ",8.94,
QLD,4421,Tara,180 Kofoeds Road,180 Kofoeds Road Tara 4421,12.56," 125,600 ",295000,2.35,20.9,0.005805556, 729.18 , 437.51 ,8.90,
TAS,7030,Elderslie,Lot 1 Pelham Road,Lot 1 Pelham Road Elderslie 7030,4.8," 48,000 ",80000,1.67,14.7,0.004083334, 196.00 , 117.60 ,8.82,
QLD,4421,Tara,157 Tolmah Court,157 Tolmah Court Tara 4421,12," 120,000 ",299000,2.49,20.9,0.005805556, 696.67 , 418.00 ,8.39,
TAS,7330,Irishtown,16 Amos Road,16 Amos Road Irishtown 7330,20.48," 204,800 ",400000,1.95,14.7,0.004083334, 836.27 , 501.76 ,7.53,
SA,5244,Mount Torrens,350 Warmington Run,350 Warmington Run Mount Torrens 5244,29," 290,000 ",700000,2.41,17.2,0.004777778," 1,385.56 ", 831.33 ,7.13,
NSW,2318,Williamtown,523 Cabbage Tree Road,523 Cabbage Tree Road Williamtown 2318,23.43," 234,300 ",570000,2.43,17.1,0.00475," 1,112.93 ", 667.76 ,7.03,
VIC,3952,Ruby,10-15 Malones Road,10-15 Malones Road Ruby 3952,182.92," 1,829,200 ",4750000,2.60,17.3,0.004805556," 8,790.32 "," 5,274.19 ",6.66,
NSW,2325,Wollombi,147 Coolawine Rd,147 Coolawine Rd Wollombi 2325,20.23," 202,300 ",525000,2.60,17.1,0.00475, 960.93 , 576.56 ,6.59,
SA,5254,Callington,129 North Bremer Road,129 North Bremer Road Callington 5254,22.53," 225,300 ",599000,2.66,17.2,0.004777778," 1,076.43 ", 645.86 ,6.47,
WA,6701,Carnarvon,340 South River Road,340 South River Road Carnarvon 6701,19.83," 198,300 ",700000,3.53,22.3,0.006194445," 1,228.36 ", 737.02 ,6.32,
WA,6309,Popanyinning,90 Popanyinning East Road,90 Popanyinning East Road Popanyinning 6309,8.09," 80,900 ",299000,3.70,22.3,0.006194445, 501.13 , 300.68 ,6.03,
NT,0822,Rakula,5/49 Marindja Road,5/49 Marindja Road Rakula 0822,10," 100,000 ",390000,3.90,22.1,0.006138889, 613.89 , 368.33 ,5.67,
VIC,3672,Benalla,196 Hunter Road,196 Hunter Road Benalla 3672,19.2," 192,000 ",595000,3.10,17.3,0.004805556, 922.67 , 553.60 ,5.58,
NT,0860,Tennant Creek,23545 Stuart Highway,23545 Stuart Highway Tennant Creek 0860,20," 200,000 ",950000,4.75,22.1,0.006138889," 1,227.78 ", 736.67 ,4.65,
NSW,2265,Cooranbong,236 Mount Faulk Road,236 Mount Faulk Road Cooranbong 2265,20.23," 202,300 ",899000,4.44,17.1,0.00475, 960.93 , 576.56 ,3.85,
VIC,3666,Euroa,1411 Euroa Road,1411 Euroa Road Euroa 3666,10.12," 101,200 ",650000,6.42,17.3,0.004805556, 486.32 , 291.79 ,2.69,
VIC,3444,Redesdale,2585 Kyneton-Redesdale Road,2585 Kyneton-Redesdale Road Redesdale 3444,8.09," 80,900 ",580000,7.17,17.3,0.004805556, 388.77 , 233.26 ,2.41,
VIC,3870,Boolarra,280 Foster Road,280 Foster Road Boolarra 3870,5.1," 51,000 ",395000,7.75,17.3,0.004805556, 245.08 , 147.05 ,2.23,
WA,6701,Carnarvon,219 McGlades Road,219 McGlades Road Carnarvon 6701,11.4," 114,000 ",1850000,16.23,22.3,0.006194445, 706.17 , 423.70 ,1.37,
