,user,text
0,jimmyfallon,"In 2000, while on SNL, I made a terrible decision to do an impersonation of Chris Rock while in blackface.  There i… https://t.co/6k9alCsBq7"
0,shakira,@isamebarak Y yo a ti!!!😘
1,shakira,"Congratulations to my cousin @IsaMebarak for her new album which is so full of our heritage! 
https://t.co/wpHWY6NtPu"
0,ddlovato,"Demi accepted the #ALLin challenge nomination &amp; is flying in a fan to come hang with her in the studio in LA! 💗 

E… https://t.co/CEemyO4Bka"
1,ddlovato,#Demi4Fabletics 💖😝💋 https://t.co/PpT2rLfdPB https://t.co/NxZcGWNgJ1
0,britneyspears,Number ONE 😱 ??!!? Thank you @RollingStone …. what an honor 💋💋💋 !!!!!! https://t.co/GnFH7Mqxjn
0,narendramodi,"On his Jayanti, I bow to the courageous Veer Savarkar. We remember him for his bravery, motivating several others t… https://t.co/nv0ykcNLXx"
1,narendramodi,"Also condoled the sad and untimely demise of Minister A. Thondaman, leader of Indian Origin Tamils in Sri Lanka. Pr… https://t.co/sal4VgcRi7"
0,selenagomez,@Spotify @BombayBicycle 😍
1,selenagomez,I talked about the process of creating ‘Boyfriend’ with @juliamichaels @justtranter and the roommates for an exclus… https://t.co/CZoSKTDhjL
0,jtimberlake,"If you’re not outraged, you should be. Justice for #AhmaudArbery. https://t.co/VyYaVK4NQY"
1,jtimberlake,"Spring Summer 2020. Thanks for this, Internet. https://t.co/I3mdWPTjiN"
0,KimKardashian,If you sign up to the @SKIMS early access list you can get access to all product an hour before it launches to the… https://t.co/S30fvw76EE
1,KimKardashian,You’re going to love these with the robe!!! It’s so cozy 🤍 https://t.co/2WM321lcYj
0,ArianaGrande,"#justiceforGeorgeFloyd

text FLOYD to 55156
@colorofchange 

to put pressure on DA Mike Freeman to charge and arres… https://t.co/qNqmcHknfo"
1,ArianaGrande,https://t.co/OYyjExqodV https://t.co/WDAZy4Ptfr
0,realDonaldTrump,Thank you Cowboys. See you in New Mexico! https://t.co/aCRJeskUA8
0,TheEllenShow,The L.A. Regional Food Bank is incredible. They’re helping so many families in need right now. https://t.co/gwih7a18eF
1,TheEllenShow,"Jennifer Aniston, come over and watch a #Friends marathon with me. @HBOMax is here!"
0,ladygaga,#RainOnMe ⛈ Vinyl available now https://t.co/Jh65cFlKJ8 https://t.co/KiQMBAayp5
1,ladygaga,Delivering #Chromatica myself to every retailer around the world… in Chromatica time and distance do not exist 🤪… https://t.co/BF3Imp8ozZ
0,Cristiano,Approved ? 🤔 https://t.co/FsWDUuMGx4
1,Cristiano,Work hard play hard 💪🏼 https://t.co/lsRIikp7Jg
0,taylorswift13,VERY STOKED about this cover of lwymmd on @KillingEve by Jack leopards &amp; the dolphin club!! https://t.co/fhkLfOssfm
1,taylorswift13,@etnow I personally really relate to this tweet. 😎
0,rihanna,"the Jet Blacks are for life, but this Milky Way is sumn sexy #Coded @FentyOfficial https://t.co/l3FDKgTxTk"
1,rihanna,introducing the #Coded sunnies from https://t.co/gPB5b00msm @FentyOfficial https://t.co/yDW9eT6Hc5
0,katyperry,"Welp. Today’s #SpaceLaunchLive was BUMPED due to weather, but what’s two days when spacex has been waiting for 18 y… https://t.co/NCNfYgHCCm"
1,katyperry,Going live from the 🌙 on @Discovery and @ScienceChannel right now! #SpaceLaunchLIVE https://t.co/6Scp6XVhn3
0,justinbieber,In these streets https://t.co/Z1TtKLg2Q3
1,justinbieber,Make your own #StuckwithU merch https://t.co/FuTHy6WJwb https://t.co/WOc3B5Gizy
0,BarackObama,"If you believe in a more just, more generous, more democratic America, now is the time to fight for it. Here’s a te… https://t.co/wjDlgys1Uc"
1,BarackObama,"On Memorial Day, we honor those who gave all for us. That takes different forms this year, but it’s even more vital… https://t.co/wUBXJWWoKs"
