,user,text,gender
0,BarackObama,We’ve seen the power that our voices have when we speak out about injustice––but we also know the toll that it take… https://t.co/ObdM8RkgEf,0
1,BarackObama,"On National Gun Violence Awareness Day, we #WearOrange to honor the victims and survivors of gun violence––which co… https://t.co/cNV3OQ1knd",0
2,BarackObama,"Third, every city in this country should be a @MBK_Alliance community. We have 250 cities, counties, and tribal nat… https://t.co/ELtGDZNoZD",0
3,BarackObama,"Second, every mayor should review their use of force policies with members of their community and commit to report… https://t.co/22stCoND3e",0
4,BarackObama,"First, there are specific evidence-based reforms that would build trust, save lives, and lead to a decrease in crim… https://t.co/Y9NYL1AmEp",0
5,BarackObama,"Real change requires protest to highlight a problem, and politics to implement practical solutions and laws. As I m… https://t.co/Yg1ta1Ky1n",0
6,BarackObama,"In our @MBK_Alliance town hall yesterday, I mentioned James Baldwin's The Fire Next Time. From 1962, it remains a s… https://t.co/ywCjOXeBU3",0
7,BarackObama,"And third, an extraordinary essay by the former Chairman of the Joint Chiefs of Staff of the U.S. Armed Forces, Mik… https://t.co/JCBGWiKaAq",0
8,BarackObama,"Second, a reminder of the difference politics and voting can make in changing who has the power to make real change… https://t.co/tnz7P3x0FG",0
9,BarackObama,Here’s a useful read––a reminder of the importance of de-escalation by police in their interactions with protestors… https://t.co/TCoDH04Zan,0
10,BarackObama,"""Let’s do this another way. Let's stop thinking our voice don’t matter and vote. Not just for the president...educa… https://t.co/VGoEJ3yauS",0
11,BarackObama,Let’s get to work. https://t.co/jEczrOeFdv,0
12,BarackObama,I know the past few months have been hard and dispiriting. But watching the heightened activism of young people mak… https://t.co/9BnI4CgWk0,0
13,BarackObama,"If you want to take concrete action, but you’re not sure how, we’ve created a site to connect you with useful resou… https://t.co/4YMMTGxakV",0
14,BarackObama,"5. The more specific we can make demands for criminal justice and police reform, the harder it will be for elected… https://t.co/Wi0pBxRRm7",0
15,BarackObama,"4. So if we want to bring about real change, the choice isn’t between protest and politics––we have to do both. We… https://t.co/qq1dawV1JF",0
16,BarackObama,"3. To do that, we have to know which levels of government have the biggest impact. Changing the federal government… https://t.co/bCjdJWhoqy",0
17,BarackObama,"2. The point of protest is to raise public awareness, to put a spotlight on injustice, and to make the powers that… https://t.co/PSbu6NO4Fk",0
18,BarackObama,1. The protests represent a genuine and legitimate frustration over a decades-long failure to reform police practic… https://t.co/WKpFr1vNcx,0
19,BarackObama,"Ultimately, it’s going to be up to a new generation of activists to shape strategies that best fit the times. But I… https://t.co/SwIgqMXvKk",0
20,BarackObama,As millions of people across the country take to the streets and raise their voices in response to the killing of G… https://t.co/Z0Q0coDIIU,0
21,BarackObama,I wrote out some thoughts on how to make this moment a real turning point to bring about real change––and pulled to… https://t.co/XALZHP1MMb,0
22,BarackObama,My statement on the death of George Floyd: https://t.co/Hg1k9JHT6R,0
23,BarackObama,"If you believe in a more just, more generous, more democratic America, now is the time to fight for it. Here’s a te… https://t.co/wjDlgys1Uc",0
24,BarackObama,"On Memorial Day, we honor those who gave all for us. That takes different forms this year, but it’s even more vital… https://t.co/wUBXJWWoKs",0
25,BarackObama,"And here’s more on the approach Sweden has taken, which differs from some of its neighbors: 

https://t.co/Qw5R0O5RhM",0
26,BarackObama,"South Korea has focused on testing to guard against outbreaks:

https://t.co/51h11Pb3HZ",0
27,BarackObama,"As all 50 states begin the process of reopening, here are three articles that offer some lessons from other countri… https://t.co/k6xeoaH9zm",0
28,BarackObama,The Class of 2020 is full of the leaders we need to bend the arc of history toward a better future—and our HBCU gra… https://t.co/NGsbvF4QP6,0
29,BarackObama,"As Chicago navigates the health crisis, its residents continue to show up for one another in their communities. It’… https://t.co/d1kWPJJzqd",0
30,BarackObama,"Congrats to the high school Class of 2020, as well as to the teachers, coaches, and most of all, parents and family… https://t.co/2IoU6E9qnq",0
31,BarackObama,"Congratulations to the HBCU Class of 2020! Michelle and I are so proud of you. As you set out to change the world,… https://t.co/bpuDRcqGrZ",0
32,BarackObama,"Graduating is a big achievement no matter what, but with all that the Class of 2020 has dealt with to get across th… https://t.co/nuR3SUdo8F",0
33,BarackObama,Vote.,0
34,BarackObama,"Michelle and I want to do our part to give all you parents a break today, so we’re reading “The Word Collector” for… https://t.co/c70wTBGE3y",0
35,BarackObama,"Despite all the time that’s been lost, we can still make real progress against the virus, protect people from the e… https://t.co/vX0RkWj9EZ",0
36,BarackObama,"Change comes when all of us step up and play our part in this democracy. By encouraging our young people, like thes… https://t.co/9zmQTVM1YI",0
37,BarackObama,"Even if you can’t give the moms in your life a hug today, I hope you can give them an extra thank you today. Thank… https://t.co/vsJxawNfbF",0
38,BarackObama,There’s no limit to the devotion I’ve seen in teachers like these @ChiPubSchools educators. Their dedication shapes… https://t.co/2vmmINSTBV,0
39,BarackObama,I’ve always loved joining commencements––the culmination of years of hard work and sacrifice. Even if we can’t get… https://t.co/8Ja4pnbgcz,0
40,BarackObama,The folks of the Chicago @fooddepository—and food banks in communities like yours—are working overtime to feed the… https://t.co/HO23W6drUL,0
41,BarackObama,"The pandemic has magnified the financial insecurity of too many American families, the deep and real racial dispari… https://t.co/69d67PL3so",0
42,BarackObama,"In moments of crisis, we look out for one other. And we need leaders with empathy who will bring people together ra… https://t.co/2VaX5YcOjj",0
43,BarackObama,This pandemic has painfully brought to the surface many of the reasons I launched @MBK_Alliance—structural racism r… https://t.co/VMSf31sBLt,0
44,BarackObama,"If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not go… https://t.co/WvZWasIqyX",0
45,BarackObama,"While we continue to wait for a coherent national plan to navigate this pandemic, states like Massachusetts are beg… https://t.co/uHs0qhPrKD",0
46,BarackObama,We've all had to adapt to cope with a pandemic. Climate change will force far harsher changes on our kids. All of u… https://t.co/rFDUjfPA10,0
47,BarackObama,"Parents, you deserve a break – Michelle’s got storytime handled every Monday. She’s one of the best, I promise. (An… https://t.co/MpmfxfinMW",0
48,BarackObama,Proud of the leaders in my hometown of Chicago who are showing us what it means to be there for each other––as neig… https://t.co/nrS0rg86tx,0
49,BarackObama,"When I think of people I’ve counted on over the years, Sarah Hurwitz comes to mind. She's the talented author of… https://t.co/DzWZrbwRwa",0
50,BarackObama,Democracy depends on an informed citizenry and social cohesion. Here’s a look at how misinformation can spread thro… https://t.co/TfCa789jzs,0
51,BarackObama,For all of us who love this country and are willing to do our part to make sure it lives up to its highest ideals –… https://t.co/RcUlk1FwLg,0
52,BarackObama,I’m proud to endorse my friend @JoeBiden for President of the United States. Let's go: https://t.co/maHVGRozkX,0
53,BarackObama,"Dreamers have contributed so much to our country, and they are risking their lives fighting on the frontlines of th… https://t.co/TpcCIY3UzF",0
54,BarackObama,We can't deny that racial and socioeconomic factors are playing a role in who is being hit the hardest by the virus… https://t.co/VgAEVwVBPi,0
55,BarackObama,"Although our celebrations may look different this year, our unwavering faith remains the same. For me, Easter is a… https://t.co/yqWFo9qYMH",0
56,BarackObama,Let’s not use the tragedy of a pandemic to compromise our democracy. Check the facts of vote by mail. https://t.co/aTNxRV4Ws3,0
57,BarackObama,"Everyone should have the right to vote safely, and we have the power to make that happen. This shouldn't be a parti… https://t.co/b7HmHriD3G",0
58,BarackObama,No one should be forced to choose between their right to vote and their right to stay healthy like the debacle in W… https://t.co/9LcdVOU9uV,0
59,BarackObama,"Some good news: states that started social distancing early and aggressively, like California, have avoided overwhe… https://t.co/lYzRvmo55X",0
60,BarackObama,"Mayors have been working hard to help us get through this pandemic, and they’ll have just as big a task to help peo… https://t.co/rHYzDM5k1x",0
61,BarackObama,"Through centuries of persecution, exile and struggle, the story of Passover has reminded the Jewish people––and all… https://t.co/Ks8gXDHjzR",0
62,BarackObama,Social distancing bends the curve and relieves some pressure on our heroic medical professionals. But in order to s… https://t.co/DVSDGdzaUn,0
63,BarackObama,"My advisor and friend @cecmunoz has been someone I’ve turned to for years. In her new book, More Than Ready, she sh… https://t.co/HZd6fZRVEy",0
64,BarackObama,"It’s World Health Day, and we owe a profound debt of gratitude to all our medical professionals. They’re still givi… https://t.co/uhfPzagqi7",0
65,BarackObama,"Bill Withers was a true American master. His music, rooted in the everyday joys and sorrows of working people, was… https://t.co/r2wuS8ugt7",0
66,BarackObama,"As she often does, @SenWarren provides a cogent summary of how federal policymakers should be thinking about the pa… https://t.co/4I2dLnp1nW",0
67,BarackObama,It's Census Day and we all have a crucial role to play. Filling out the 2020 Census determines what the next decade… https://t.co/e90Xk9eFk1,0
68,BarackObama,We've seen all too terribly the consequences of those who denied warnings of a pandemic. We can't afford any more c… https://t.co/dUUGeOI8VK,0
69,BarackObama,"So many Americans right now are stepping up to help their communities. Zohaib Begg, a 7-year-old from VA, is one of… https://t.co/kgEAjd7yGX",0
