,user,text,gender,clean_text,length
0,BarackObama,My statement on the death of George Floyd: https://t.co/Hg1k9JHT6R,0,statement death George Floyd,66
1,BarackObama,"If you believe in a more just, more generous, more democratic America, now is the time to fight for it. Here’s a te… https://t.co/wjDlgys1Uc",0,believe more just more generous more democratic America time fight Here,140
2,BarackObama,"On Memorial Day, we honor those who gave all for us. That takes different forms this year, but it’s even more vital… https://t.co/wUBXJWWoKs",0,Memorial honor those gave That takes different forms this year even more vital,140
3,BarackObama,"And here’s more on the approach Sweden has taken, which differs from some of its neighbors: 

https://t.co/Qw5R0O5RhM",0,here more approach Sweden taken which differs from some neighbors,117
4,BarackObama,"South Korea has focused on testing to guard against outbreaks:

https://t.co/51h11Pb3HZ",0,South Korea focused testing guard against outbreaks,87
5,BarackObama,"As all 50 states begin the process of reopening, here are three articles that offer some lessons from other countri… https://t.co/k6xeoaH9zm",0,states begin process reopening here three articles that offer some lessons from other countri,140
6,BarackObama,The Class of 2020 is full of the leaders we need to bend the arc of history toward a better future—and our HBCU gra… https://t.co/NGsbvF4QP6,0,Class full leaders need bend history toward better future HBCU,140
7,BarackObama,"As Chicago navigates the health crisis, its residents continue to show up for one another in their communities. It’… https://t.co/d1kWPJJzqd",0,Chicago navigates health crisis residents continue show another their communities,140
8,BarackObama,"Congrats to the high school Class of 2020, as well as to the teachers, coaches, and most of all, parents and family… https://t.co/2IoU6E9qnq",0,Congrats high school Class well teachers coaches most parents family,140
9,BarackObama,"Congratulations to the HBCU Class of 2020! Michelle and I are so proud of you. As you set out to change the world,… https://t.co/bpuDRcqGrZ",0,Congratulations HBCU Class Michelle proud change world,139
10,BarackObama,"Graduating is a big achievement no matter what, but with all that the Class of 2020 has dealt with to get across th… https://t.co/nuR3SUdo8F",0,Graduating achievement matter what with that Class dealt with across,140
11,BarackObama,Vote.,0,Vote,5
12,BarackObama,"Michelle and I want to do our part to give all you parents a break today, so we’re reading “The Word Collector” for… https://t.co/c70wTBGE3y",0,Michelle want part give parents break today reading Word Collector,140
