user,name,gender,followers_millions,activity,country
BarackObama,Barack Obama,0,118,Former U.S. president,United States
justinbieber,Justin Bieber,0,111,Musician,Canada
katyperry,Katy Perry,1,108,Musician,United States
rihanna,Rihanna,1,96,Musician and businesswoman,Barbados
taylorswift13,Taylor Swift,1,86,Musician,United States
Cristiano,Cristiano Ronaldo,0,84,Footballer,Portugal
ladygaga,Lady Gaga,1,81,Musician and actress,United States
TheEllenShow,Ellen DeGeneres,1,80,Comedian and television hostess,United States
ArianaGrande,Ariana Grande,1,74,Musician and actress,United States
KimKardashian,Kim Kardashian,1,65,Television personality and businesswoman,United States
jtimberlake,Justin Timberlake,0,64,Musician and actor,United States
selenagomez,Selena Gomez,1,61,Musician and actress,United States
narendramodi,Narendra Modi,0,57,Current Prime Minister of India,India
britneyspears,Britney Spears,1,56,Musician,United States
ddlovato,Team Demi,1,55,Musician,United States
shakira,Shakira,1,52,Musician,Colombia
jimmyfallon,Jimmy Fallon,0,51,Comedian,United States
BillGates,Bill Gates,0,50,Businessman and philanthropist,United States
neymarjr,Neymar,0,47,Footballer,Brazil
KingJames,LeBron James,0,46,Basketball player,United States
JLo,Jennifer Lopez,1,45,Musician and actress,United States
MileyCyrus,Miley Cyrus,1,44,Musician and actress,United States
BrunoMars,Bruno Mars,0,43,Musician,United States
Oprah,Oprah Winfrey,1,43,Television personality and businesswoman,United States
SrBachchan,Amitabh Bachchan,0,42,Actor,India
BeingSalmanKhan,Salman Khan,0,40,Actor and film producer,India
iamsrk,Shah Rukh Khan,0,40,Actor and film producer,India
Drake,Drake,0,39,Rapper,Canada
NiallOfficial,Niall Horan,0,39,Musician,Ireland
akshaykumar,Akshay Kumar,0,36,Actor,India
KevinHart4real,Kevin Hart,0,36,Comedian and actor,United States
wizkhalifa,Wiz Khalifa,0,36,Rapper,United States
imVkohli,Virat Kohli,0,35,Cricketer,India
elonmusk,Elon Musk,0,34,Industrial designer and tech entrepreneur,South Africa
Harry_Styles,Harry Styles,0,34,Musician,United Kingdom
LilTunechi,Lil Wayne,0,34,Rapper,United States
Louis_Tomlinson,Louis Tomlinson,0,33,Musician,United Kingdom
aliciakeys,Alicia Keys,1,30,Musician,United States
EmmaWatson,Emma Watson,1,29,Actor,United States
HillaryClinton,Hillary Clinton,1,28,Politician,United States
Adele,Adele,1,27,Musician,United Kingdom
priyankachopra,PRIYANKA,1,26,Television personality and businesswoman,India
kourtneykardash,Kourtney Kardashian,1,25,Television personality and businesswoman,United States
AnushkaSharma,Anushka Sharma,1,21,Television personality and businesswoman,India
AvrilLavigne,Avril Lavigne,1,21,Musician,United States
MariahCarey,Mariah Carey,1,21,Musician,United States
NICKIMINAJ,Mrs. Petty,1,20,Musician,United States
tomhanks,Tom Hanks,0,16.7,,
MichelleObama,Michelle Obama,1,15.6,,
jk_rowling,J.K. Rowling,1,15,-,-
chrissyteigen,Chrissy Teigen,1,13,,
mindykaling,Mindy Kaling,1,12,,
carmeloanthony,Carmelo Anthony,0,9,-,-
TheNotoriousMMA,Conor McGregor,0,8.1,-,-
justdemi,Demi Moore,1,5,-,-
usainbolt,Usain Bolt,0,5,-,-
blakegriffin23,Blake Griffin,0,4,-,-
MannyPacquiao,Manny Pacquiao,0,2.6,-,-
JoyAnnReid,Joy Reid,1,1.6,,
missyfranklin,Missy Franklin,1,1,-,-
Aly_Raisman,Alexandra Raisman,1,1,,
50cent,50 Cent,0,0,-,-
aaker,Jennifer Aaker,1,0,-,-
AdamMGrant,Adam Grant,0,0,-,-
arrahman,A.R.Rahman,0,0,-,-
chamath,Chamath Palihapitiya,0,0,-,-
chefannc,Anne Cooper,1,0,-,-
davidguetta,David Guetta,0,0,-,-
developingjen,Jenny Stefanotti,1,0,-,-
drdre,Dr. Dre,0,0,-,-
EmilyChang,Emily Chang,1,0,-,-
emilynussbaum,emily nussbaum,1,0,-,-
GirlyGeekdom,Sarah Blow,1,0,-,-
harrislacewell,Melissa Harris-Lacewell,1,0,-,-
icecube,Ice Cube,0,0,-,-
iSmashFizzle,Ashley C. Ford,1,0,-,-
jennpozner,Jennifer Pozner,1,0,-,-
JessieNYC,Jessie Daniels,1,0,-,-
kanyewest,Kanye West,0,0,-,-
KellyMcGonigal,Kelly McGonigal,1,0,-,-
kenyanpundit,Ory Okolloh,1,0,-,-
leila_c,Leila Chirayath Janah,1,0,-,-
LiamPayne,Liam Payne,0,0,-,-
lissarankin,Lissa Rankin ,1,0,-,-
pistachio,Laura Fitton,1,0,-,-
realDonaldTrump,Donald Trump,0,0,-,-
RuthReichl,Ruth Reichl,1,0,-,-
ryanlochte,Ryan Lochte,0,0,-,-
Shaq,Shaq,0,0,-,-
ShelbyKnox,Shelby Knox,1,0,-,-
Sloane,Sloane Berrent,1,0,-,-
staceyannchin,Staceyann Chin,1,0,-,-
susanmcp1,Susan McPherson,1,0,-,-
UnhealthyTruth,Robyn O'Brien,1,0,-,-
VeronicaMcG,Veronica McGregor,1,0,-,-
kerrileewalsh,Kerri Walsh,1,0,-,-
