user,name,gender,followers_millions,activity
BarackObama,Barack Obama,0,118,Politician
katyperry,Katy Perry,1,108,Musician
rihanna,Rihanna,1,96,Musician
taylorswift13,Taylor Swift,1,86,Musician
Cristiano,Cristiano Ronaldo,0,84,Athlete
realDonaldTrump,Donald Trump,0,82,Politician
ladygaga,Lady Gaga,1,81,Musician
TheEllenShow,Ellen DeGeneres,1,80,Comedian
ArianaGrande,Ariana Grande,1,74,Musician
KimKardashian,Kim Kardashian,1,65,Celebrity
jtimberlake,Justin Timberlake,0,64,Musician
selenagomez,Selena Gomez,1,61,Musician
narendramodi,Narendra Modi,0,57,Politician
britneyspears,Britney Spears,1,56,Musician
ddlovato,Team Demi,1,55,Musician
shakira,Shakira,1,52,Musician
jimmyfallon,Jimmy Fallon,0,51,Comedian
BillGates,Bill Gates,0,50,Businessperson
neymarjr,Neymar,0,47,Athlete
KingJames,LeBron James,0,46,Athlete
JLo,Jennifer Lopez,1,45,Musician
MileyCyrus,Miley Cyrus,1,44,Musician
BrunoMars,Bruno Mars,0,43,Musician
Oprah,Oprah Winfrey,1,43,Celebrity
Drake,Drake,0,39,Musician
NiallOfficial,Niall Horan,0,39,Musician
KevinHart4real,Kevin Hart,0,36,Comedian
wizkhalifa,Wiz Khalifa,0,36,Musician
elonmusk,Elon Musk,0,34,Businessperson
Harry_Styles,Harry Styles,0,34,Musician
LilTunechi,Lil Wayne,0,34,Musician
Louis_Tomlinson,Louis Tomlinson,0,33,Musician
LiamPayne,Liam Payne,0,33,Musician
aliciakeys,Alicia Keys,1,30,Musician
kanyewest,Kanye West,0,29,Musician
EmmaWatson,Emma Watson,1,29,Actor
HillaryClinton,Hillary Clinton,1,28,Politician
Adele,Adele,1,27,Musician
priyankachopra,PRIYANKA,1,26,Celebrity
kourtneykardash,Kourtney Kardashian,1,25,Celebrity
davidguetta,David Guetta,0,21,Musician
AnushkaSharma,Anushka Sharma,1,21,Celebrity
AvrilLavigne,Avril Lavigne,1,21,Musician
MariahCarey,Mariah Carey,1,21,Musician
NICKIMINAJ,Mrs. Petty,1,20,Musician
Shaq,Shaquille O'Neal,0,15,Athlete
jk_rowling,J.K. Rowling,1,15,Author
neiltyson,Neil deGrasse Tyson,0,14,Astrophysicist
joerogan,Joe Rogan,0,6.2,Businessperson
justdemi,Demi Moore,1,5,Actor
