,State,Area Code,City,Address,Address Two,Size (hectare),sq metres,Price,Price / Sq Metre,Solar Exposure 2019 (MJ m-2),Convert to megawatt-hour,Total Megawatt-hour,60%,Solar / PSM,location,point,latitude,longitude,altitude
0,QLD,4725,Barcaldine,0 Capricorn Highway,0 Capricorn Highway Barcaldine 4725,168.59,"1,685,900",400000,0.24,21.8,0.006055556,"10,209.06","6,125.44",91.88,"Oak Street, Barcaldine, Queensland, 4725, Australia","(-23.5523378, 145.2886116, 0.0)",-23.5523378,145.2886116,0.0
1,QLD,4421,Tara,42 O'Hallorans Raoad,42 O'Hallorans Raoad Tara 4421,12.0,"120,000",27500,0.23,20.9,0.005805556,696.67,418,91.2,,,,,
2,QLD,4421,Tara,183 Tregathlyn Road,183 Tregathlyn Road Tara 4421,12.0,"120,000",29999,0.25,20.9,0.005805556,696.67,418,83.6,,,,,
3,QLD,4343,Ropeley,807 Ropeley Rockside Road,807 Ropeley Rockside Road Ropeley 4343,87.7,"877,000",425000,0.48,20.9,0.005805556,"5,091.47","3,054.88",43.13,"Ropeley Rockside Road, Ropeley, Ipswich, Queensland, Australia","(-27.7101797, 152.2920258, 0.0)",-27.7101797,152.2920258,0.0
4,SA,5354,Fisher,21 Ballone Road,21 Ballone Road Fisher 5354,30.0,"300,000",99000,0.33,17.2,0.004777778,"1,433.33",860,52.12,"Ballone Road, Fisher, Mid Murray Council, South Australia, 5354, Australia","(-34.5308913, 139.4953716, 0.0)",-34.5308913,139.4953716,0.0
5,NT,845,Batchelor,60 Carr Road,60 Carr Road Batchelor 0845,101.17,"1,011,700",485000,0.48,22.1,0.006138889,"6,210.71","3,726.43",46.1,,,,,
6,TAS,7304,Meander,0 Meander Road,0 Meander Road Meander 7304,77.15,"771,500",320000,0.41,14.7,0.004083334,"3,150.29","1,890.18",35.44,"Meander Road, Meander, Meander Valley, Tasmania, Australia","(-41.609492, 146.6262578, 0.0)",-41.609492,146.6262578,0.0
7,QLD,4472,Blackall,113 Woodbine Road,113 Woodbine Road Blackall 4472,129.5,"1,295,000",770000,0.59,20.9,0.005805556,"7,518.20","4,510.92",35.15,"Woodbine Road, Blackall, Queensland, Australia","(-24.3808807, 145.4547338, 0.0)",-24.3808807,145.4547338,0.0
8,SA,5434,Hawker,52 Flinders Ranges Way,52 Flinders Ranges Way Hawker 5434,180.0,"1,800,000",900000,0.5,17.2,0.004777778,"8,600.00","5,160.00",34.4,"Flinders Ranges Way, Hawker, The Flinders Ranges Council, South Australia, 5434, Australia","(-31.8913734, 138.4244745, 0.0)",-31.8913734,138.4244745,0.0
9,SA,5413,Apoinga,238 Lagoon Road Apoinga,238 Lagoon Road Apoinga Apoinga 5413,30.83,"308,300",155000,0.5,17.2,0.004777778,"1,472.99",883.79,34.21,"Lagoon Road, Apoinga, The Regional Council of Goyder, South Australia, 5413, Australia","(-33.9310846, 138.9467883, 0.0)",-33.9310846,138.9467883,0.0
10,SA,5235,Springton,13/13 Strachans Road,13/13 Strachans Road Springton 5235,54.0,"540,000",275000,0.51,17.2,0.004777778,"2,580.00","1,548.00",33.77,"Strachans Road, Springton, The Barossa Council, South Australia, 5235, Australia","(-34.7373008, 139.1569088, 0.0)",-34.7373008,139.1569088,0.0
11,NSW,2259,Yarramalong,Lot 1 Bunning Creek Road,Lot 1 Bunning Creek Road Yarramalong 2259,35.61,"356,100",200000,0.56,17.1,0.00475,"1,691.48","1,014.89",30.45,"Bunning Creek Road, Yarramalong, Gosford, Central Coast Council, 2259, Australia","(-33.2051341, 151.262174, 0.0)",-33.2051341,151.262174,0.0
12,TAS,3706,Lower Beulah,Lower Beulah Road,Lower Beulah Road Lower Beulah 3706,47.04,"470,400",238000,0.51,14.7,0.004083334,"1,920.80","1,152.48",29.05,"Lower Beulah Road, Lower Beulah, Kentish, Tasmania, Australia","(-41.4343886, 146.4223212, 0.0)",-41.4343886,146.4223212,0.0
13,WA,6304,Morbinning,38 Avoca Road,38 Avoca Road Morbinning 6304,63.34,"633,400",500000,0.79,22.3,0.006194445,"3,923.56","2,354.14",28.25,,,,,
14,NT,840,Dundee Forest,4500 Bay Road,4500 Bay Road Dundee Forest 0840,12.25,"122,500",100000,0.82,22.1,0.006138889,752.01,451.21,27.07,,,,,
15,TAS,7117,Dover,Valley Road,Valley Road Dover 7117,27.89,"278,900",160000,0.57,14.7,0.004083334,"1,138.84",683.31,25.62,"Valley Road, Walpole, Dover, Huon Valley, Tasmania, 7117, Australia","(-43.2861487, 147.0091768, 0.0)",-43.2861487,147.0091768,0.0
16,SA,5253,Woods Point,937 Jervois Road,937 Jervois Road Woods Point 5253,19.83,"198,300",149000,0.75,17.2,0.004777778,947.43,568.46,22.89,"Jervois Road, White Sands, The Rural City of Murray Bridge, South Australia, 5253, Australia","(-35.2094903, 139.3586192, 0.0)",-35.2094903,139.3586192,0.0
17,VIC,3561,Rochester,380 Diggora Road,380 Diggora Road Rochester 3561,21.04,"210,400",199000,0.95,17.3,0.004805556,"1,011.09",606.65,18.29,"Diggora Road, Rochester, Shire of Campaspe, Victoria, 3561, Australia","(-36.3522143, 144.6130647, 0.0)",-36.3522143,144.6130647,0.0
18,NT,840,Dundee Beach,3734 Launceston Road,3734 Launceston Road Dundee Beach 0840,14.28,"142,800",240000,1.68,22.1,0.006138889,876.63,525.98,13.15,,,,,
19,QLD,4421,Tara,113 Gazzard Road,113 Gazzard Road Tara 4421,12.14,"121,400",225000,1.85,20.9,0.005805556,704.79,422.88,11.28,,,,,
20,NT,850,Katherine,2675 Florina Rd,2675 Florina Rd Katherine 0850,40.65,"406,500",899000,2.21,22.1,0.006138889,"2,495.46","1,497.28",9.99,"Florina Road, Manbulloo, Katherine, Town of Katherine, Northern Territory, 0850, Australia","(-14.5165607, 132.1233142, 0.0)",-14.5165607,132.1233142,0.0
21,NT,822,Bees Creek,795 Bees Creek Road,795 Bees Creek Road Bees Creek 0822,120.5,"1,205,000",2980000,2.47,22.1,0.006138889,"7,397.36","4,438.42",8.94,"Bees Creek Road, Yirra Bandoo, Bees Creek, Litchfield Municipality, Northern Territory, 0822, Australia","(-12.5714177, 131.0590362, 0.0)",-12.5714177,131.0590362,0.0
22,QLD,4421,Tara,180 Kofoeds Road,180 Kofoeds Road Tara 4421,12.56,"125,600",295000,2.35,20.9,0.005805556,729.18,437.51,8.9,,,,,
23,TAS,7030,Elderslie,Lot 1 Pelham Road,Lot 1 Pelham Road Elderslie 7030,4.8,"48,000",80000,1.67,14.7,0.004083334,196,117.6,8.82,"Pelham Road, Elderslie, Southern Midlands, Tasmania, Australia","(-42.5953174, 147.0464437, 0.0)",-42.5953174,147.0464437,0.0
24,QLD,4421,Tara,157 Tolmah Court,157 Tolmah Court Tara 4421,12.0,"120,000",299000,2.49,20.9,0.005805556,696.67,418,8.39,,,,,
25,TAS,7330,Irishtown,16 Amos Road,16 Amos Road Irishtown 7330,20.48,"204,800",400000,1.95,14.7,0.004083334,836.27,501.76,7.53,,,,,
26,SA,5244,Mount Torrens,350 Warmington Run,350 Warmington Run Mount Torrens 5244,29.0,"290,000",700000,2.41,17.2,0.004777778,"1,385.56",831.33,7.13,"Warmington Run, Mount Torrens, Adelaide Hills Council, South Australia, 5244, Australia","(-34.9058095, 138.971772, 0.0)",-34.9058095,138.971772,0.0
27,NSW,2318,Williamtown,523 Cabbage Tree Road,523 Cabbage Tree Road Williamtown 2318,23.43,"234,300",570000,2.43,17.1,0.00475,"1,112.93",667.76,7.03,"Cabbage Tree Road, Williamtown, Port Stephens Council, 2318, Australia","(-32.8181554, 151.8316202, 0.0)",-32.8181554,151.8316202,0.0
28,VIC,3952,Ruby,10-15 Malones Road,10-15 Malones Road Ruby 3952,182.92,"1,829,200",4750000,2.6,17.3,0.004805556,"8,790.32","5,274.19",6.66,,,,,
